"Cores","WDPA_167","Simplified_WDPA_152","Fishnets_14338"
"tz_00",0.2237189,0.1310093,0.6684458
"tz_01",13.77449,13.21258,1155.327
"tz_04",4.312857,4.003277,342.8945
"tz_08",3.098867,2.751655,228.901
"tz_16",3.856526,3.447195,224.1133
"te_00",1.192118,1.113145,7.698702
"te_01",2.1063,2.003033,96.95921
"te_04",0.8649573,0.8448322,21.92113
"te_08",0.74687,0.7548745,13.08471
"te_16",0.9822133,0.9876096,10.67942
"ee_00",0.1982877,0.1834302,9.262551
"ee_01",1.671226,1.584397,118.622
"ee_04",0.7490165,0.6824629,33.72716
"ee_08",0.7289269,0.6573496,18.959
"ee_16",1.04728,0.9656515,14.74441
