"Cores","terra_zonal","exact_extract","terra_extract"
1,114.109721183777,61.5901556015015,57.7084765434265
2,60.7260456085205,31.6735112667084,30.5201754570007
3,43.4187717437744,21.110609292984,20.7670874595642
4,32.0369005203247,16.2720098495483,16.3553645610809
5,25.6484405994415,13.1034727096558,13.834326505661
6,20.7007853984833,11.2178444862366,12.1535129547119
7,18.6468684673309,9.6766197681427,10.926451921463
8,16.3906097412109,8.73609972000122,11.3606383800507
9,18.3928489685059,9.85844731330872,11.0871217250824
10,16.4896023273468,8.97627091407776,10.3955445289612
11,15.4333064556122,8.41597318649292,9.4939911365509
12,14.5874047279358,7.82569003105164,9.03630948066711
13,14.6612176895142,7.59339141845703,8.61450743675232
14,13.6829297542572,7.26503014564514,8.35539293289185
15,13.1574237346649,7.12054300308228,8.09600734710693
16,13.4674751758575,6.93509745597839,8.1040985584259
