"Cores","Fishnet_216425","WDPA_7495","Simplified_WDPA_4722"
1,4219.1541955471,920.613945007324,571.889935731888
2,2165.33940911293,510.490175485611,316.992156744003
3,1451.00655555725,339.430589199066,228.024435281754
4,1127.49587368965,262.230098009109,202.167759180069
5,927.993534326553,218.591331958771,181.003922224045
6,784.675291538239,189.698235988617,116.595747709274
7,687.220465660095,188.973622083664,129.828785896301
8,603.196491956711,174.133901357651,114.719448566437
9,636.95476603508,169.769972801208,115.073079824448
10,636.518919467926,146.897630929947,117.623149633408
11,529.793036699295,127.307199954987,98.5560138225555
12,505.383353233337,158.174057722092,105.832882404327
13,491.575935840607,177.43320775032,116.841534852982
14,479.144627332687,134.204205751419,101.240917444229
15,458.491767883301,114.79892206192,101.686710119247
16,451.160533428192,121.453149080276,98.419825553894
