"Cores","terra_extract","exact_extract"
1,4006.50762271881,2918.80995368958
2,2091.13850903511,1536.42069816589
3,1500.09274077415,1025.1647939682
4,1090.82259225845,784.923717975616
5,902.046342134476,630.463780879974
6,737.664284944534,523.713809490204
7,661.390986680984,458.909779787064
8,679.174638748169,402.494058609009
9,620.205427408218,455.479761600494
10,618.592311143875,415.670125484467
11,578.11047744751,392.564980983734
12,556.089648008347,363.094279050827
13,535.494900941849,362.831933498383
14,544.702498435974,340.614637851715
15,503.875113725662,326.841031312943
16,483.274987220764,329.982023239136
