"Cores","terra_zonal","terra_extract","exact_extract"
1,7240.94575238228,5179.29423713684,5540.49604773521
2,3847.1361041069,2784.06405186653,2787.05056405067
3,2537.55633711815,1978.81832098961,1892.9515542984
4,1834.63296341896,1424.71813058853,1423.64421796799
5,1673.92622327805,1234.10682344437,1205.16369438171
6,1389.26364660263,1038.74826669693,1006.69413971901
7,1233.18681764603,908.613618612289,878.923611402512
8,956.131222724915,781.976629495621,786.863146066666
9,1167.4045112133,874.563032150269,806.137957811356
10,1143.59967875481,791.209175109863,788.393332004547
11,1018.02246642113,716.460362911224,696.558104753494
12,1002.96650505066,715.651521682739,680.527037858963
13,926.409164905548,694.229489088058,642.360959529877
14,891.69304895401,649.819469928741,630.228519439697
15,861.89609336853,629.76282954216,583.917788505554
16,685.166275501251,530.753096580505,663.468595504761
