"Cores","terra_zonal","terra_extract","exact_extract"
1,287.028827905655,226.985779762268,223.342842340469
2,135.476812601089,112.430912256241,116.41529917717
3,91.7892813682556,77.4085447788239,78.5485672950745
4,79.3131921291351,62.6831035614014,57.2046947479248
5,55.8338384628296,47.5524942874908,46.5906076431274
6,47.2841446399689,40.4693973064423,39.0701138973236
7,40.3144240379333,34.3107831478119,33.1370298862457
8,41.3434731960297,33.2821407318115,28.966356754303
9,39.5206809043884,34.2785997390747,31.5319967269897
10,35.1652114391327,31.5458920001984,30.0602295398712
11,32.758246421814,28.5931267738342,28.1991648674011
12,30.4917047023773,27.1072905063629,26.8574659824371
13,29.8666532039642,26.3579838275909,24.9476943016052
14,28.6628167629242,24.7999398708344,23.9277677536011
15,27.7930545806885,24.7484545707703,22.4451131820679
16,31.794017791748,26.0598757266998,20.1160728931427
