"Cores","terra_zonal","terra_extract","exact_extract"
1,6111.15485501289,5039.06116938591,5643.99430322647
2,3107.11676931381,2603.85592937469,3163.48510336876
3,2141.03011226654,1771.96371889114,2139.35764765739
4,1594.07665205002,1356.09542107582,1696.02485728264
5,1306.61425185204,1114.29742145538,1345.43875193596
6,1083.78200507164,926.350139379501,1182.76805710793
7,947.503537893295,809.803293704987,992.040244817734
8,894.909821033478,739.827615022659,876.04998922348
9,918.623525381088,776.497135400772,963.315601348877
10,839.858242034912,730.967221736908,874.402946949005
11,768.033031225204,670.956000328064,809.108057975769
12,746.86088180542,646.443983793259,800.576813220978
13,708.892552137375,620.038011312485,757.665266036987
14,649.079030752182,569.860393047333,742.393268108368
15,621.729819059372,545.353043317795,706.048492908478
16,613.305873632431,531.52176117897,694.109409332275
