"Cores","terra_zonal","terra_extract","exact_extract"
1,227.589131355286,192.150237321854,186.297464847565
2,116.013198375702,98.919793844223,97.457465171814
3,79.0340430736542,69.7775187492371,66.971987247467
4,62.7271294593811,52.7922232151031,51.8091447353363
5,49.545520067215,43.6627259254456,42.5836586952209
6,41.1713049411774,38.5164313316345,37.8792774677277
7,36.0335762500763,35.0106954574585,33.4939389228821
8,37.0171537399292,31.3147597312927,28.7656559944153
9,33.3679847717285,34.2767148017883,31.8763399124146
10,32.9561083316803,29.9531540870667,28.9963643550873
11,31.1515536308289,28.0819623470306,25.9102056026459
12,30.1691617965698,25.795134305954,24.6323163509369
13,29.4169914722443,25.0158696174622,23.4102039337158
14,28.3322360515594,23.6474061012268,22.5476565361023
15,27.1711285114288,23.1585862636566,21.5202720165253
16,25.3687064647675,22.6628322601318,20.3703129291534
